"source_id","title","authority","original_url","final_url","http_status","https","official_domain","redirected","classification","relation_check","reason","last_verified","checked_at","affected_results","affected_count"
"SRC92-VISIT","طلب خدمة زيارة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/d5e26711-4105-4ad9-8cd8-bc6d66242591.aspx","https://www.moj.gov.sa/ar/eServices/pages/d5e26711-4105-4ad9-8cd8-bc6d66242591.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","R-FAM-VISIT-OBSTRUCTION","1"
"SRC92-VISITDEC","دليل طلب إصدار قرار زيارة","وزارة العدل","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_c5ab2283-5d8f-4b19-8dfc-25784000f01a.pdf","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_c5ab2283-5d8f-4b19-8dfc-25784000f01a.pdf","200","YES","YES","NO","ACTIVE","PDF_LINK_ONLY","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","R-FAM-DECISION-VISIT","1"
"SRC93-DIV","توثيق طلاق","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/0205e7ab-9006-4cc5-9c42-cc279e08a831.aspx","https://www.moj.gov.sa/ar/eServices/Pages/0205e7ab-9006-4cc5-9c42-cc279e08a831.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","R-FAM-DIVORCE-DOCUMENT | R-FAM-DIVORCE-NOT-DOC","2"
"SRC93-RET","توثيق رجعة","وزارة العدل","https://www.moj.gov.sa/ar/eservices/pages/8f097103-691f-438f-9a20-d492b564965e.aspx","https://www.moj.gov.sa/ar/eservices/pages/8f097103-691f-438f-9a20-d492b564965e.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","R-FAM-RETURN-DOCUMENT | R-FAM-RETURN-NOT-KNOWN","2"
"SRC93-SLA","اتفاقية مستوى الخدمات الإلكترونية","وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/SLA.aspx","https://www.moj.gov.sa/ar/Ministry/Pages/SLA.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC94-CUST","توثيق حضانة","وزارة العدل","https://moj.gov.sa/ar/eservices/pages/e2560f40-ddf8-4e37-b212-394787344aef.aspx","https://moj.gov.sa/ar/eservices/pages/e2560f40-ddf8-4e37-b212-394787344aef.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC94-ESTATE","إصدار حصر تركة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/2841c3bc-6aea-4ef7-9c70-934c28952fd8.aspx","https://www.moj.gov.sa/ar/eServices/pages/2841c3bc-6aea-4ef7-9c70-934c28952fd8.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC94-HEIR","إصدار حصر الورثة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/17b08d90-809c-45cf-bd41-9eb8d15fabcb.aspx","https://www.moj.gov.sa/ar/eServices/Pages/17b08d90-809c-45cf-bd41-9eb8d15fabcb.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC94-HEIR-DIG","طلب رقمنة وثيقة حصر الورثة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/f8cc5fe9-1957-41e5-a2d9-7ebad1e25ff3.aspx","https://www.moj.gov.sa/ar/eServices/Pages/f8cc5fe9-1957-41e5-a2d9-7ebad1e25ff3.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC94-MARR-NONSA","توثيق زواج أحد الزوجين غير سعودي","وزارة العدل","https://moj.gov.sa/ar/eServices/Pages/c5586468-24ca-47e2-81b6-625813dcfba2.aspx","https://moj.gov.sa/ar/eServices/Pages/c5586468-24ca-47e2-81b6-625813dcfba2.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
